,City,year,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
263,PHOENIX,2018,1653080.0,0.0073257192634355265,7.985094490284801e-05,0.0006569555012461587,0.00188254651922472,0.0047063662980618,0.034923899629781985,0.0063390761487647305,0.023857284583928183,0.0047275388970890704,242.0
63,SCOTTSDALE,2011,220462.0,0.0018143716377425588,1.8143716377425587e-05,0.0001542215892081175,0.0005669911367945496,0.0010750151953624661,0.030499587230452412,0.006459163030363509,0.02292458564287723,0.0011158385572116736,25.0
100,SCOTTSDALE,2012,223432.0,0.001472483798202585,1.342690393497798e-05,0.0001879766550896917,0.0005146979841741558,0.0007563822550037595,0.027064162698270614,0.005616921479465789,0.020368613269361596,0.001078627949443231,27.0
135,SCOTTSDALE,2013,225523.0,0.0014943043503323386,1.7736550152312623e-05,0.00016406308890889177,0.00044784789134589377,0.0008646568199252404,0.025567237044558648,0.004846512329119424,0.019798424107518968,0.0009223006079202565,15.0
196,SCOTTSDALE,2015,233872.0,0.0018557159471847848,2.5655059177669835e-05,0.00045323937880550045,0.0004275843196278306,0.000949237189573784,0.022798795922555928,0.003544674009714716,0.018433160019155778,0.0008209618936854347,10.0
233,SCOTTSDALE,2016,240885.0,0.001531851298337381,1.6605434128318493e-05,0.00037362226788716606,0.00046495215559291776,0.0006766714407289786,0.023654440915789693,0.0031882433526371507,0.019432509288664714,0.0010336882744878262,13.0
267,SCOTTSDALE,2018,254961.0,0.0016551551021528783,2.7455179419597507e-05,0.0004785045555986994,0.00034122865850071186,0.0008079667086338695,0.022289683520224663,0.0027886617953334037,0.01843419189601547,0.0010668298288757888,17.0
68,SURPRISE,2011,119181.0,0.0010991684916219868,0.0,0.00010068719007224305,0.000427920557807033,0.0005705607437427107,0.021798776650640624,0.005176999689547831,0.015715592250442605,0.0009061847106501876,22.0
105,SURPRISE,2012,120793.0,0.0013411373175597923,2.4835876251107266e-05,6.622900333628605e-05,0.0005132747758562168,0.0007367976621161823,0.02059722003758496,0.004296606591441557,0.015323735646933184,0.0009768777992102192,14.0
139,SURPRISE,2013,122497.0,0.0012163563189302596,0.0,0.00011428851318807808,0.00040000979615827326,0.0007020580095839082,0.017306546282766108,0.0032817130215433846,0.012832967337975624,0.0011918659232471,6.0
166,SURPRISE,2014,125049.0,0.001095570536349751,3.198746091532119e-05,7.197178705947268e-05,0.00024790282209373926,0.0007437084662812178,0.016785420115314798,0.0027989028300906046,0.012954921670705083,0.0010315956145191085,14.0
201,SURPRISE,2015,128525.0,0.0013071386889710174,1.5561174868702586e-05,0.000132269986383972,0.0003423458471114569,0.0008169616806068858,0.016977241781754523,0.0031900408480840304,0.012970239253063606,0.0008169616806068858,23.0
237,SURPRISE,2016,130679.0,0.0010330657565484891,4.591403362437729e-05,9.182806724875458e-05,0.00029078887962105616,0.000604534776054301,0.01904667161517918,0.002701275644900864,0.015151631096044506,0.0011937648742338096,5.0
271,SURPRISE,2018,136611.0,0.0012078090344115773,5.124038327806692e-05,0.00015372114983420077,0.0002708420258983537,0.000732005475400956,0.015394075147682105,0.0017494930862082848,0.012239131548703984,0.0014054505127698354,5.0
69,TEMPE,2011,164008.0,0.004798546412370128,3.048631774059802e-05,0.0002743768596653822,0.001445051460904346,0.003048631774059802,0.05446685527535242,0.009627579142480854,0.041485781181405786,0.0033534949514657823,28.0
106,TEMPE,2012,166061.0,0.005287213734711943,6.624071877201751e-05,0.00026496287508807003,0.0015235365317564028,0.003432473609095453,0.04711521669747864,0.007527354405911081,0.03664316124797514,0.002944701043592415,25.0
140,TEMPE,2013,168501.0,0.004931721473463066,1.7804048640660887e-05,0.00036795033857365834,0.0013293689651693462,0.0032165981210794,0.04674156236461505,0.007572655355161097,0.036278716446786666,0.002890190562667284,44.0
167,TEMPE,2014,169812.0,0.004705203401408616,2.9444326667137776e-05,0.0006065531293430381,0.0011365510093515182,0.0029326549360469225,0.047370032742091256,0.006931194497444232,0.03772407132593692,0.0027147669187101028,42.0
202,TEMPE,2015,175556.0,0.004106951627970562,3.987331677641322e-05,0.0005753149992025337,0.00104240242429766,0.002449360887693955,0.04353026954362141,0.006311376426895122,0.03517396158490738,0.002044931531818907,65.0
238,TEMPE,2016,178654.0,0.005048865404636896,2.2389647027214615e-05,0.0008675988223045664,0.001326586586362466,0.002832290348942649,0.04558532134740896,0.006716894108164385,0.03634959194868293,0.0025188352905616443,38.0
272,TEMPE,2018,188543.0,0.004842396694653209,2.6519149477837946e-05,0.0009334740616198957,0.0010024238502622743,0.002879979633293201,0.04138048084521833,0.005393995003792239,0.03313302535761073,0.002853460483815363,12.0
70,TUCSON,2011,527479.0,0.006521586641363921,9.668631357836046e-05,0.00038674525431344186,0.0022048271116006514,0.003833327961871468,,0.009439238339346212,,0.005205894452670154,167.0
107,TUCSON,2012,531535.0,0.00724505441786524,8.089777719247086e-05,0.0004402344154194926,0.0023704930061049603,0.004353429219148316,,0.009446226494962703,,0.004701477795441504,198.0
141,TUCSON,2013,525486.0,0.006409304910121297,8.944101270062381e-05,0.00041104805836882427,0.0019068062707664904,0.004002009568285359,0.06581907034630799,0.009433172339510472,0.05221832741500249,0.004167570591795024,151.0
